group_id,state_id,weight
state_pop_large,13,0.018673
state_pop_large,21,0.012372
state_pop_large,26,0.017210
state_pop_large,34,0.014798
state_pop_large,39,0.032351
state_pop_large,43,0.016511
state_pop_large,57,0.049707
state_pop_large,61,0.019216
state_pop_large,CT,0.032575
state_pop_large,DN,0.029915
state_pop_large,HN,0.212399
state_pop_large,HP,0.053498
state_pop_large,SG,0.237175
state_pop_medium,07,0.006125
state_pop_medium,22,0.008943
state_pop_medium,27,0.005828
state_pop_medium,29,0.006894
state_pop_medium,30,0.006720
state_pop_medium,31,0.007650
state_pop_medium,33,0.009905
state_pop_medium,35,0.010291
state_pop_medium,40,0.005980
state_pop_medium,44,0.009867
state_pop_medium,45,0.008443
state_pop_medium,46,0.006016
state_pop_medium,47,0.011117
state_pop_medium,56,0.006855
state_pop_medium,59,0.005970
state_pop_medium,67,0.006232
state_pop_medium,68,0.008330
state_pop_medium,69,0.010807
state_pop_medium,70,0.007133
state_pop_small,01,0.001133
state_pop_small,02,0.003446
state_pop_small,03,0.001465
state_pop_small,04,0.001940
state_pop_small,05,0.002797
state_pop_small,06,0.002654
state_pop_small,09,0.002724
state_pop_small,14,0.003579
state_pop_small,18,0.005046
state_pop_small,20,0.005434
state_pop_small,23,0.005329
state_pop_small,24,0.003529
state_pop_small,25,0.002523
state_pop_small,28,0.004438
state_pop_small,32,0.004112
state_pop_small,36,0.004415
state_pop_small,37,0.003567
state_pop_small,41,0.003827
state_pop_small,49,0.003636
state_pop_small,50,0.003285
state_pop_small,51,0.002969
state_pop_small,52,0.005355
state_pop_small,53,0.001188
state_pop_small,54,0.004595
state_pop_small,55,0.004174
state_pop_small,58,0.002864
state_pop_small,63,0.004173
state_pop_small,66,0.003129
state_pop_small,71,0.002119
state_pop_small,72,0.001663
state_pop_small,73,0.003385
